"gu","year","area","price"
"동대문구",2018,21.07,160
"동대문구",2018,21.07,160
"동대문구",2018,59.52,380
"동대문구",2018,58.24,400
"동대문구",2018,59.98,940
"동대문구",2018,55.06,355
"동대문구",2018,21.07,200
"동대문구",2018,59.81,880
"동대문구",2019,14.69,136
"동대문구",2019,12.94,128
"동대문구",2019,57.17,436
"동대문구",2019,16.13,139
"동대문구",2019,59.85,820
"서초구",1973,106.26,3400
"서초구",1973,140.13,4550
"서초구",1973,107.47,3900
"서초구",1973,140.13,4550
"서초구",1973,104.89,2747
"서초구",1973,106.26,3950
"서초구",1974,72.51,2150
"서초구",1975,116.13,1550
"서초구",1976,181.6,1840
"서초구",1978,92.2,2240
"서초구",1978,107.31,2220
"서초구",1978,68.91,1855
"서초구",1978,86.61,1580
"서초구",1978,68.91,1715
"서초구",1979,105.89,2185
"서초구",1979,101.32,1890
"서초구",1979,101.32,1610
"서초구",1979,105.44,2080
"서초구",1979,96.48,1680
"서초구",1981,108.05,1970
"서초구",1981,139.74,1577
"서초구",1982,80.25,1750
"서초구",1983,143.77,3100
"서초구",1983,185.46,2600
"서초구",1985,136.38,1800
"서초구",1987,64.53,1270
"서초구",1987,64.53,1110
"서초구",1987,84.96,1650
"서초구",1987,45.72,900
"서초구",1987,66.29,1288
"서초구",1987,45.72,925
"서초구",1987,84.96,1479
"서초구",1987,84.96,1900
"서초구",1988,79.47,1780
"서초구",1989,78.39,1730
"서초구",1989,84.53,1800
"서초구",1991,117.19,1303
"서초구",1991,117.19,1300
"서초구",1992,84.92,1350
"서초구",1992,84.52,1980
"서초구",1993,84.82,1310
"서초구",1993,84.87,1615
"서초구",1994,164.83,1900
"서초구",1994,59.98,770
"서초구",1994,261.49,1350
"서초구",1994,52.47,834
"서초구",1995,77.14,930
"서초구",1996,211.67,1500
"서초구",1996,34.23,830
"서초구",1996,23.7,490
"서초구",1997,59.56,1240
"서초구",1998,76.67,1570
"서초구",1998,59.91,1350
"서초구",1998,59.76,865
"서초구",1998,59.98,795
"서초구",1999,47.87,460
"서초구",1999,244.19,1720
"서초구",1999,53.01,900
"서초구",1999,59.94,1055
"서초구",1999,59.52,1000
"서초구",2000,243.66,3200
"서초구",2000,77.04,900
"서초구",2000,84.99,1380
"서초구",2001,102.42,1280
"서초구",2001,84.94,1540
"서초구",2001,84.94,1600
"서초구",2001,34.72,490
"서초구",2001,84.94,1530
"서초구",2001,59.86,1190
"서초구",2001,158.82,1620
"서초구",2001,158.82,1800
"서초구",2001,244.84,1580
"서초구",2001,208.63,1550
"서초구",2001,104.82,1250
"서초구",2001,59.86,1000
"서초구",2002,59.4,845
"서초구",2002,84.97,1740
"서초구",2002,116.04,960
"서초구",2002,59.57,1180
"서초구",2002,84.91,1580
"서초구",2002,35.17,284
"서초구",2002,84.91,1520
"서초구",2002,84.91,1910
"서초구",2002,35.22,260
"서초구",2002,140.36,2040
"서초구",2002,35.22,255
"서초구",2002,84.78,1170
"서초구",2002,84.9,1120
"서초구",2002,84.91,1920
"서초구",2002,140.36,2010
"서초구",2002,84.91,1950
